[I 220131 11:27:27 engine:76] TRAIN | Epoch: [92/150][120/7830] | Time: 0.000/0.227 | Loss: 0.198 | Acc: 0.917 | mIoU: 0.720
[I 220131 11:27:29 engine:76] TRAIN | Epoch: [92/150][130/7830] | Time: 0.000/0.225 | Loss: 0.021 | Acc: 0.996 | mIoU: 0.971
[I 220131 11:27:31 engine:76] TRAIN | Epoch: [92/150][140/7830] | Time: 0.000/0.227 | Loss: 0.527 | Acc: 0.840 | mIoU: 0.543
[I 220131 11:27:33 engine:76] TRAIN | Epoch: [92/150][150/7830] | Time: 0.000/0.227 | Loss: 0.319 | Acc: 0.821 | mIoU: 0.461
[I 220131 11:27:36 engine:76] TRAIN | Epoch: [92/150][160/7830] | Time: 0.000/0.224 | Loss: 0.545 | Acc: 0.823 | mIoU: 0.525
[I 220131 11:27:38 engine:76] TRAIN | Epoch: [92/150][170/7830] | Time: 0.000/0.225 | Loss: 0.079 | Acc: 0.977 | mIoU: 0.627
[I 220131 11:27:40 engine:76] TRAIN | Epoch: [92/150][180/7830] | Time: 0.000/0.225 | Loss: 0.073 | Acc: 0.974 | mIoU: 0.647
[I 220131 11:27:43 engine:76] TRAIN | Epoch: [92/150][190/7830] | Time: 0.000/0.244 | Loss: 0.138 | Acc: 0.942 | mIoU: 0.616
[I 220131 11:27:45 engine:76] TRAIN | Epoch: [92/150][200/7830] | Time: 0.000/0.226 | Loss: 0.150 | Acc: 0.953 | mIoU: 0.908
[I 220131 11:27:47 engine:76] TRAIN | Epoch: [92/150][210/7830] | Time: 0.000/0.230 | Loss: 0.132 | Acc: 0.944 | mIoU: 0.635
[I 220131 11:27:50 engine:76] TRAIN | Epoch: [92/150][220/7830] | Time: 0.000/0.231 | Loss: 0.051 | Acc: 0.981 | mIoU: 0.960
[I 220131 11:27:52 engine:76] TRAIN | Epoch: [92/150][230/7830] | Time: 0.000/0.244 | Loss: 0.297 | Acc: 0.886 | mIoU: 0.530
[I 220131 11:27:54 engine:76] TRAIN | Epoch: [92/150][240/7830] | Time: 0.000/0.226 | Loss: 0.006 | Acc: 1.000 | mIoU: 1.000
[I 220131 11:27:57 engine:76] TRAIN | Epoch: [92/150][250/7830] | Time: 0.000/0.224 | Loss: 0.055 | Acc: 0.981 | mIoU: 0.665
[I 220131 11:27:59 engine:76] TRAIN | Epoch: [92/150][260/7830] | Time: 0.000/0.246 | Loss: 0.151 | Acc: 0.957 | mIoU: 0.900
[I 220131 11:28:01 engine:76] TRAIN | Epoch: [92/150][270/7830] | Time: 0.000/0.227 | Loss: 0.099 | Acc: 0.968 | mIoU: 0.621
[I 220131 11:28:03 engine:76] TRAIN | Epoch: [92/150][280/7830] | Time: 0.000/0.244 | Loss: 0.115 | Acc: 0.942 | mIoU: 0.530
[I 220131 11:28:06 engine:76] TRAIN | Epoch: [92/150][290/7830] | Time: 0.000/0.231 | Loss: 0.387 | Acc: 0.874 | mIoU: 0.527
[I 220131 11:28:08 engine:76] TRAIN | Epoch: [92/150][300/7830] | Time: 0.000/0.229 | Loss: 0.207 | Acc: 0.893 | mIoU: 0.773
[I 220131 11:28:10 engine:76] TRAIN | Epoch: [92/150][310/7830] | Time: 0.000/0.223 | Loss: 0.081 | Acc: 0.989 | mIoU: 0.648
[I 220131 11:28:13 engine:76] TRAIN | Epoch: [92/150][320/7830] | Time: 0.000/0.226 | Loss: 0.216 | Acc: 0.927 | mIoU: 0.626
[I 220131 11:28:15 engine:76] TRAIN | Epoch: [92/150][330/7830] | Time: 0.000/0.225 | Loss: 0.020 | Acc: 0.997 | mIoU: 0.993
[I 220131 11:28:17 engine:76] TRAIN | Epoch: [92/150][340/7830] | Time: 0.000/0.226 | Loss: 0.116 | Acc: 0.956 | mIoU: 0.611
[I 220131 11:28:20 engine:76] TRAIN | Epoch: [92/150][350/7830] | Time: 0.000/0.228 | Loss: 0.091 | Acc: 0.970 | mIoU: 0.710
[I 220131 11:28:22 engine:76] TRAIN | Epoch: [92/150][360/7830] | Time: 0.000/0.230 | Loss: 0.199 | Acc: 0.920 | mIoU: 0.493
[I 220131 11:28:24 engine:76] TRAIN | Epoch: [92/150][370/7830] | Time: 0.000/0.228 | Loss: 0.334 | Acc: 0.918 | mIoU: 0.561
[I 220131 11:28:27 engine:76] TRAIN | Epoch: [92/150][380/7830] | Time: 0.000/0.225 | Loss: 0.069 | Acc: 0.979 | mIoU: 0.878
[I 220131 11:28:29 engine:76] TRAIN | Epoch: [92/150][390/7830] | Time: 0.000/0.227 | Loss: 0.088 | Acc: 0.960 | mIoU: 0.607
[I 220131 11:28:31 engine:76] TRAIN | Epoch: [92/150][400/7830] | Time: 0.000/0.229 | Loss: 0.128 | Acc: 0.964 | mIoU: 0.638
[I 220131 11:28:34 engine:76] TRAIN | Epoch: [92/150][410/7830] | Time: 0.000/0.227 | Loss: 0.019 | Acc: 1.000 | mIoU: 1.000
[I 220131 11:28:36 engine:76] TRAIN | Epoch: [92/150][420/7830] | Time: 0.000/0.228 | Loss: 0.147 | Acc: 0.948 | mIoU: 0.600
[I 220131 11:28:38 engine:76] TRAIN | Epoch: [92/150][430/7830] | Time: 0.000/0.231 | Loss: 0.425 | Acc: 0.859 | mIoU: 0.596
[I 220131 11:28:40 engine:76] TRAIN | Epoch: [92/150][440/7830] | Time: 0.000/0.227 | Loss: 0.127 | Acc: 0.956 | mIoU: 0.576
[I 220131 11:28:43 engine:76] TRAIN | Epoch: [92/150][450/7830] | Time: 0.000/0.244 | Loss: 0.054 | Acc: 0.983 | mIoU: 0.717
[I 220131 11:28:45 engine:76] TRAIN | Epoch: [92/150][460/7830] | Time: 0.000/0.226 | Loss: 0.085 | Acc: 0.969 | mIoU: 0.604
[I 220131 11:28:47 engine:76] TRAIN | Epoch: [92/150][470/7830] | Time: 0.000/0.225 | Loss: 0.361 | Acc: 0.829 | mIoU: 0.456
[I 220131 11:28:50 engine:76] TRAIN | Epoch: [92/150][480/7830] | Time: 0.000/0.227 | Loss: 0.156 | Acc: 0.936 | mIoU: 0.671
[I 220131 11:28:52 engine:76] TRAIN | Epoch: [92/150][490/7830] | Time: 0.000/0.226 | Loss: 0.109 | Acc: 0.969 | mIoU: 0.937
[I 220131 11:28:54 engine:76] TRAIN | Epoch: [92/150][500/7830] | Time: 0.000/0.227 | Loss: 0.035 | Acc: 0.987 | mIoU: 0.974
[I 220131 11:28:57 engine:76] TRAIN | Epoch: [92/150][510/7830] | Time: 0.000/0.241 | Loss: 0.007 | Acc: 1.000 | mIoU: 0.999
[I 220131 11:28:59 engine:76] TRAIN | Epoch: [92/150][520/7830] | Time: 0.000/0.224 | Loss: 0.221 | Acc: 0.901 | mIoU: 0.547
